PLAYER NAME,TEAM,POS,Age,G,GS,PassYds,PassTD,Int,RushAtt,RushYds,Y/A,RushTD,Tgt,Rec,RecYds,RecTD,FL,TD,PPR,VBD
N'Keal Harry,NWE,WR,22,7,5,0.0,0.0,0.0,0.71,7.0,9.8,0.0,3.43,1.71,15.0,0.29,0.0,0.29,5.63,
James O'Shaughnessy,JAX,TE,27,5,5,0.0,0.0,0.0,0.0,0.0,,0.0,4.0,2.8,30.6,0.4,0.0,0.4,8.26,
Mark Walton,MIA,RB,22,7,4,0.0,0.0,0.0,7.57,28.7,3.79,0.0,3.0,2.14,12.7,0.0,0.14,0.0,6.0,
Chase Daniel,CHI,QB,33,3,1,145.0,1.0,0.67,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.67,
Anthony Firkser,TEN,TE,24,15,1,0.0,0.0,0.0,0.0,0.0,,0.0,1.6,0.93,13.6,0.07,0.0,0.07,2.69,
Isaiah Ford,MIA,WR,23,8,0,0.0,0.0,0.0,0.13,1.38,11.0,0.0,4.38,2.88,30.5,0.0,0.0,0.0,6.06,
Marquise Goodwin,SFO,WR,29,9,6,0.0,0.0,0.0,0.11,1.67,15.0,0.0,2.33,1.33,20.7,0.11,0.0,0.11,4.23,
Dontrell Hilliard,CLE,RB,24,14,0,0.0,0.0,0.0,0.93,3.5,3.77,0.14,1.07,0.86,6.57,0.0,0.0,0.14,2.72,
Andy Isabella,ARI,WR,23,15,1,0.0,0.0,0.0,0.27,1.0,3.75,0.0,0.87,0.6,12.6,0.07,0.0,0.07,2.36,
Bilal Powell,NYJ,RB,31,13,1,0.0,0.0,0.0,4.54,17.6,3.88,0.0,0.92,0.54,2.54,0.0,0.0,0.0,2.55,
Trey Quinn,WAS,WR,24,12,6,0.0,0.0,0.0,0.0,0.0,,0.0,3.92,2.17,16.5,0.08,0.08,0.08,4.32,
Damion Ratley,CLE,WR,24,13,3,0.0,0.0,0.0,0.0,0.0,,0.0,1.85,0.92,15.4,0.08,0.0,0.08,2.92,
Maxx Williams,ARI,TE,25,16,10,0.0,0.0,0.0,0.0,0.0,,0.0,1.19,0.94,12.6,0.06,0.0,0.06,2.58,
Dan Arnold,2TM,TE,24,5,1,0.0,0.0,0.0,0.0,0.0,,0.0,2.8,1.6,25.4,0.4,0.0,0.4,6.54,
Ryan Finley,CIN,QB,25,3,3,158.0,0.67,0.67,3.33,25.7,7.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.23,
KeeSean Johnson,ARI,WR,23,10,4,0.0,0.0,0.0,0.1,0.3,3.0,0.0,4.2,2.1,18.7,0.1,0.1,0.1,4.6,
Cordarrelle Patterson,CHI,WR,28,16,4,0.0,0.0,0.0,1.06,6.44,6.06,0.0,1.06,0.69,5.19,0.0,0.0,0.06,2.23,
Ito Smith,ATL,RB,24,7,0,0.0,0.0,0.0,3.14,15.1,4.82,0.14,2.0,1.57,12.4,0.0,0.0,0.14,5.19,
Javon Wims,CHI,WR,25,16,6,0.0,0.0,0.0,0.0,0.0,,0.0,2.44,1.13,11.6,0.06,0.0,0.06,2.66,
Ameer Abdullah,MIN,RB,26,16,0,0.0,0.0,0.0,1.44,7.19,5.0,0.0,1.31,0.94,5.5,0.06,0.06,0.06,2.46,
Myles Gaskin,MIA,RB,22,7,0,0.0,0.0,0.0,5.14,19.0,3.69,0.14,1.71,1.0,7.29,0.0,0.0,0.14,4.49,
Dante Pettis,SFO,WR,24,11,4,1.45,0.0,0.0,0.0,0.0,,0.0,2.18,1.0,9.91,0.18,0.0,0.18,3.14,
